region_id,province_name,region_name,area_code,sigungu_code,note
11110,서울특별시,종로구,1,23,
11140,서울특별시,중구,1,24,
11170,서울특별시,용산구,1,21,
11200,서울특별시,성동구,1,16,
11215,서울특별시,광진구,1,6,
11230,서울특별시,동대문구,1,11,
11260,서울특별시,중랑구,1,25,
11290,서울특별시,성북구,1,17,
11305,서울특별시,강북구,1,3,
11320,서울특별시,도봉구,1,10,
11350,서울특별시,노원구,1,9,
11380,서울특별시,은평구,1,22,
11410,서울특별시,서대문구,1,14,
11440,서울특별시,마포구,1,13,
11470,서울특별시,양천구,1,19,
11500,서울특별시,강서구,1,4,
11530,서울특별시,구로구,1,7,
11545,서울특별시,금천구,1,8,
11560,서울특별시,영등포구,1,20,
11590,서울특별시,동작구,1,12,
11620,서울특별시,관악구,1,5,
11650,서울특별시,서초구,1,15,
11680,서울특별시,강남구,1,1,
11710,서울특별시,송파구,1,18,
11740,서울특별시,강동구,1,2,
12110,전라남도,목포시,38,8,
12130,전라남도,여수시,38,13,
12150,전라남도,순천시,38,11,
12170,전라남도,나주시,38,6,
12190,전라남도,광양시,38,4,
12210,광주광역시,동구,5,3,
12240,광주광역시,서구,5,5,
12270,광주광역시,남구,5,2,
12300,광주광역시,북구,5,4,
12330,광주광역시,광산구,5,1,
12710,전라남도,담양군,38,7,
12720,전라남도,곡성군,38,3,
12730,전라남도,구례군,38,5,
12740,전라남도,고흥군,38,2,
12750,전라남도,보성군,38,10,
12760,전라남도,화순군,38,24,
12770,전라남도,장흥군,38,20,
12780,전라남도,강진군,38,1,
12790,전라남도,해남군,38,23,
12800,전라남도,영암군,38,17,
12810,전라남도,무안군,38,9,
12820,전라남도,함평군,38,22,
12830,전라남도,영광군,38,16,
12840,전라남도,장성군,38,19,
12850,전라남도,완도군,38,18,
12860,전라남도,진도군,38,21,
12870,전라남도,신안군,38,12,
26110,부산광역시,중구,6,15,
26140,부산광역시,서구,6,11,
26170,부산광역시,동구,6,5,
26200,부산광역시,영도구,6,14,
26230,부산광역시,부산진구,6,7,
26260,부산광역시,동래구,6,6,
26290,부산광역시,남구,6,4,
26320,부산광역시,북구,6,8,
26350,부산광역시,해운대구,6,16,
26380,부산광역시,사하구,6,10,
26410,부산광역시,금정구,6,2,
26440,부산광역시,강서구,6,1,
26470,부산광역시,연제구,6,13,
26500,부산광역시,수영구,6,12,
26530,부산광역시,사상구,6,9,
26710,부산광역시,기장군,6,3,
27110,대구광역시,중구,4,8,
27140,대구광역시,동구,4,4,
27170,대구광역시,서구,4,6,
27200,대구광역시,남구,4,1,
27230,대구광역시,북구,4,5,
27260,대구광역시,수성구,4,7,
27290,대구광역시,달서구,4,2,
27710,대구광역시,달성군,4,3,
27720,대구광역시,군위군,4,9,
28125,인천광역시,제물포구,,,2026년 개편(구 중구+동구)으로 신설. TourAPI 지역 목록에 아직 없음
28155,인천광역시,영종구,,,2026년 개편(구 중구 영종도부)으로 신설. TourAPI 지역 목록에 아직 없음
28177,인천광역시,미추홀구,2,3,
28185,인천광역시,연수구,2,8,
28200,인천광역시,남동구,2,4,
28237,인천광역시,부평구,2,6,
28245,인천광역시,계양구,2,2,
