region_id,annual_mean_temperature,annual_temperature_range,annual_precipitation,climate_station_ids,climate_station_names,climate_station_distances_km,climate_station_weights,climate_interpolation_method,annual_mean_temperature_source_type,annual_temperature_range_source_type,annual_precipitation_source_type,climate_source_period,climate_source_name,monthly_normals_file,annual_normals_file
11110,12.525,28.124,1319.875,"[""108"", ""419"", ""412""]","[""서울"", ""중구"", ""서대문""]","[1.757, 2.783, 3.907]","[0.624689, 0.248978, 0.126333]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11140,12.219,28.307,1220.202,"[""419"", ""108"", ""412""]","[""중구"", ""서울"", ""서대문""]","[1.351, 1.887, 3.982]","[0.61452, 0.314781, 0.0707]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11170,12.63,28.455,1189.975,"[""419"", ""415"", ""108""]","[""중구"", ""용산"", ""서울""]","[1.778, 2.091, 4.314]","[0.528224, 0.381994, 0.089782]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11200,13.687,27.632,1275.166,"[""421"", ""413"", ""408""]","[""성동"", ""광진"", ""동대문""]","[0.954, 3.488, 4.45]","[0.892226, 0.066754, 0.04102]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11215,13.541,27.862,1301.671,"[""413"", ""421"", ""400""]","[""광진"", ""성동"", ""강남""]","[1.446, 3.043, 4.794]","[0.759389, 0.171515, 0.069096]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11230,13.694,27.914,1352.941,"[""408"", ""409"", ""421""]","[""동대문"", ""중랑"", ""성동""]","[0.841, 3.157, 4.099]","[0.898461, 0.063739, 0.037799]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11260,13.286,28.304,1350.525,"[""409"", ""407"", ""408""]","[""중랑"", ""노원"", ""동대문""]","[1.479, 2.631, 3.141]","[0.650509, 0.205372, 0.144119]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11290,12.976,28.165,1387.191,"[""414"", ""408"", ""424""]","[""성북"", ""동대문"", ""강북""]","[2.358, 4.006, 4.826]","[0.630807, 0.218609, 0.150583]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11305,13.165,28.244,1405.308,"[""424"", ""414"", ""408""]","[""강북"", ""성북"", ""동대문""]","[2.736, 2.861, 4.705]","[0.444033, 0.40587, 0.150096]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11320,12.433,28.398,1470.902,"[""406"", ""424"", ""414""]","[""도봉"", ""강북"", ""성북""]","[0.639, 3.717, 6.668]","[0.962678, 0.028474, 0.008848]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11350,12.39,28.508,1406.574,"[""407"", ""406"", ""424""]","[""노원"", ""도봉"", ""강북""]","[3.018, 4.268, 5.129]","[0.541554, 0.270922, 0.187524]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11380,12.127,28.647,1193.959,"[""540"", ""416"", ""412""]","[""고양"", ""은평"", ""서대문""]","[3.259, 3.673, 5.636]","[0.471379, 0.371035, 0.157586]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11410,12.825,28.036,1262.188,"[""412"", ""411"", ""108""]","[""서대문"", ""마포"", ""서울""]","[1.033, 1.298, 2.805]","[0.565111, 0.358227, 0.076662]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11440,13.432,28.104,1268.338,"[""411"", ""412"", ""510""]","[""마포"", ""서대문"", ""영등포""]","[0.675, 2.38, 3.36]","[0.89232, 0.071695, 0.035985]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11470,13.7,28.488,1209.022,"[""405"", ""510"", ""410""]","[""양천"", ""영등포"", ""기상청""]","[0.543, 2.977, 5.43]","[0.958491, 0.031914, 0.009595]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11500,12.943,28.221,1226.799,"[""404"", ""405"", ""423""]","[""강서"", ""양천"", ""구로""]","[1.423, 5.648, 7.552]","[0.909906, 0.057781, 0.032313]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11530,13.573,28.083,1258.294,"[""437"", ""405"", ""410""]","[""광명"", ""양천"", ""기상청""]","[2.935, 3.021, 3.186]","[0.358129, 0.337931, 0.303939]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11545,13.48,27.62,1277.694,"[""417"", ""437"", ""410""]","[""금천"", ""광명"", ""기상청""]","[1.821, 1.929, 3.161]","[0.449919, 0.400791, 0.14929]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11560,13.742,28.324,1230.791,"[""510"", ""405"", ""410""]","[""영등포"", ""양천"", ""기상청""]","[1.105, 2.61, 2.862]","[0.752687, 0.135013, 0.1123]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11590,13.548,28.054,1254.671,"[""410"", ""415"", ""510""]","[""기상청"", ""용산"", ""영등포""]","[2.684, 3.271, 4.022]","[0.472034, 0.317732, 0.210234]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11620,13.324,27.559,1288.405,"[""410"", ""417"", ""425""]","[""기상청"", ""금천"", ""남현""]","[1.606, 3.287, 5.016]","[0.745714, 0.177893, 0.076393]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11650,13.482,28.306,1306.749,"[""401"", ""415"", ""425""]","[""서초"", ""용산"", ""남현""]","[2.317, 3.559, 4.654]","[0.59819, 0.253507, 0.148303]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11680,13.674,27.958,1294.326,"[""421"", ""401"", ""400""]","[""성동"", ""서초"", ""강남""]","[3.364, 3.806, 4.217]","[0.413649, 0.323134, 0.263217]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11710,13.61,27.97,1312.089,"[""400"", ""413"", ""403""]","[""강남"", ""광진"", ""송파""]","[2.477, 2.939, 4.517]","[0.497281, 0.353166, 0.149552]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
11740,13.059,28.378,1326.301,"[""402"", ""413"", ""409""]","[""강동"", ""광진"", ""중랑""]","[2.007, 4.113, 6.336]","[0.747099, 0.177929, 0.074972]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12110,13.996,24.499,1169.654,"[""165"", ""261"", ""268""]","[""목포"", ""해남"", ""진도군""]","[2.741, 31.432, 37.428]","[0.987198, 0.007508, 0.005295]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12130,14.598,23.203,1450.602,"[""168"", ""295"", ""262""]","[""여수"", ""남해"", ""고흥""]","[1.133, 20.043, 43.507]","[0.996143, 0.003181, 0.000675]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12150,14.275,23.606,1576.688,"[""168"", ""262"", ""295""]","[""여수"", ""고흥"", ""남해""]","[32.129, 41.745, 41.851]","[0.458349, 0.271511, 0.27014]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12170,13.68,25.967,1324.235,"[""156"", ""252"", ""172""]","[""광주"", ""영광군"", ""고창""]","[23.167, 36.154, 37.693]","[0.559173, 0.229595, 0.211233]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12190,14.264,23.871,1621.736,"[""168"", ""295"", ""192""]","[""여수"", ""남해"", ""진주""]","[28.826, 33.943, 44.598]","[0.467515, 0.337171, 0.195314]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12210,14.073,25.535,1380.323,"[""156"", ""254"", ""172""]","[""광주"", ""순창군"", ""고창""]","[3.687, 31.233, 36.577]","[0.976465, 0.013611, 0.009924]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12240,14.069,25.539,1379.395,"[""156"", ""172"", ""254""]","[""광주"", ""고창"", ""순창군""]","[4.06, 31.978, 34.827]","[0.971142, 0.015658, 0.0132]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12270,14.068,25.542,1380.103,"[""156"", ""254"", ""172""]","[""광주"", ""순창군"", ""고창""]","[4.195, 32.7, 36.606]","[0.97126, 0.015985, 0.012755]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12300,14.093,25.509,1380.516,"[""156"", ""254"", ""172""]","[""광주"", ""순창군"", ""고창""]","[1.679, 29.145, 33.384]","[0.994186, 0.0033, 0.002515]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12330,14.007,25.599,1367.288,"[""156"", ""172"", ""252""]","[""광주"", ""고창"", ""영광군""]","[6.855, 26.652, 32.707]","[0.900825, 0.0596, 0.039574]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12710,13.283,26.704,1425.551,"[""254"", ""156"", ""245""]","[""순창군"", ""광주"", ""정읍""]","[14.182, 18.511, 30.024]","[0.552458, 0.324278, 0.123264]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12720,12.496,27.07,1403.431,"[""247"", ""254"", ""244""]","[""남원"", ""순창군"", ""임실""]","[18.935, 19.338, 38.096]","[0.453345, 0.434653, 0.112002]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12730,12.626,26.693,1375.448,"[""247"", ""254"", ""264""]","[""남원"", ""순창군"", ""함양군""]","[22.493, 35.697, 39.171]","[0.579125, 0.229922, 0.190952]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12740,13.722,24.083,1450.465,"[""262"", ""260"", ""168""]","[""고흥"", ""장흥"", ""여수""]","[9.917, 41.194, 43.219]","[0.900411, 0.052182, 0.047407]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12750,13.544,24.505,1457.833,"[""260"", ""262"", ""259""]","[""장흥"", ""고흥"", ""강진군""]","[20.577, 21.03, 33.901]","[0.429956, 0.411632, 0.158412]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12760,13.827,25.667,1404.16,"[""156"", ""254"", ""260""]","[""광주"", ""순창군"", ""장흥""]","[16.267, 37.908, 40.657]","[0.743919, 0.136992, 0.119089]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12770,13.331,24.641,1468.669,"[""260"", ""259"", ""261""]","[""장흥"", ""강진군"", ""해남""]","[2.951, 11.72, 33.512]","[0.933586, 0.059176, 0.007238]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12780,13.795,25.291,1441.681,"[""259"", ""260"", ""261""]","[""강진군"", ""장흥"", ""해남""]","[1.35, 14.676, 20.782]","[0.987469, 0.008361, 0.004169]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
12790,13.597,24.497,1315.413,"[""261"", ""170"", ""259""]","[""해남"", ""완도"", ""강진군""]","[5.751, 16.423, 24.608]","[0.849455, 0.104153, 0.046392]",nearest_3_inverse_distance_squared,proxy,proxy,proxy,1991-2020,KMA climate normals fileset,kma_climate_normals_1991_2020_monthly.xlsx,kma_climate_normals_1991_2020_annual.xlsx
